LG 01,LG 07,LG 03,small_ind_load_1,small_ind_load_2,load_bus3,load_bus4,load_bus5,load_bus9,load_bus10,load_bus11,load_bus6,SFH9,eload_med_ind,eload_small_ind,eload_comm
12.01490055,6.786781127,4.55432838,,,,,,,,,,0.235896036,0.138608198,0.399259773,0.156290532
12.87793538,8.553403026,5.49014928,,,,,,,,,,0.097694095,0.142564347,0.437659033,0.142023346
9.966492585,8.852865714,6.42597018,,,,,,,,,,0.033491899,0.261916111,0.308119362,0.15693904
9.97169159,13.12956723,8.313208995,,,,,,,,,,0.033482949,0.700953289,0.308350682,0.625162127
17.99895531,18.08005979,9.51417915,,,,,,,,,,0.162312253,0.820114395,0.665510062,0.751621271
22.58447772,21.68089065,8.7343284,,,,,,,,,,0.122643382,0.635843661,0.869535045,0.861219196
22.51689066,22.92865185,8.843507505,,,,,,,,,,0.135104423,0.844709247,0.866527874,0.642023346
22.5584827,22.86314439,8.57835825,,,,,,,,,,0.022378051,0.587130601,0.868378441,0.693904021
21.04037324,25.19021903,10.6059702,,,,,,,,,,0,0.305862726,0.800832755,0.322957198
21.15475134,25.20269664,12.57119409,,,,,,,,,,0.026301089,0.15343184,0.805921814,0.127756161
21.88781105,25.46264689,12.91432842,,,,,,,,,,0.048276885,0.198617731,0.838538052,0.11997406
22.3557215,26.16555236,11.94731349,,,,,,,,,,0.117690311,0.190038132,0.859356928,0.109597925
24.48731355,27.64622899,8.968283625,,,,,,,,,,0.11736106,0.169828408,0.954198473,0.15304799
23.20315932,31.9239703,6.878283615,,,,,,,,,,0.110129606,0.131363203,0.897062225,0.181582361
22.63646777,35.12031858,5.80208958,,,,,,,,,,0.04387207,0.127550048,0.871848254,0.194552529
22.74044787,34.9383534,4.61671644,,,,,,,,,,0.165610844,0.120448046,0.87647467,0.13618677
