wt_power_feb,wt_power_feb_norm,wt_power_jun,wt_power_jun_norm,wt_power_oct,wt_power_oct_norm
0.41,0.5517774343122103,0.149,0.20757575757575755,0.264,0.3173431734317343
0.4,0.5363214837712521,0.155,0.21666666666666665,0.254,0.3050430504305043
0.38,0.5054095826893354,0.128,0.17575757575757575,0.236,0.2829028290282903
0.388,0.5177743431221021,0.101,0.13484848484848486,0.25,0.3001230012300123
0.386,0.5146831530139104,0.077,0.09848484848484848,0.245,0.29397293972939725
0.352,0.4621329211746523,0.062,0.07575757575757575,0.22,0.26322263222632225
0.341,0.44513137557959825,0.055,0.06515151515151515,0.216,0.25830258302583026
0.345,0.45131375579598143,0.052,0.0606060606060606,0.227,0.27183271832718325
0.355,0.4667697063369398,0.051,0.05909090909090909,0.201,0.23985239852398524
0.387,0.5162287480680062,0.049,0.05606060606060607,0.185,0.2201722017220172
0.404,0.5425038639876354,0.062,0.07575757575757575,0.185,0.2201722017220172
0.383,0.5100463678516229,0.103,0.13787878787878785,0.191,0.22755227552275523
0.305,0.38948995363214844,0.147,0.20454545454545453,0.174,0.20664206642066418
0.24,0.2890262751159197,0.185,0.2621212121212121,0.141,0.16605166051660514
0.32,0.4126738794435859,0.201,0.2863636363636364,0.13,0.15252152521525214
0.362,0.4775888717156106,0.199,0.2833333333333333,0.164,0.1943419434194342
0.391,0.5224111282843896,0.191,0.2712121212121212,0.227,0.27183271832718325
0.361,0.4760432766615147,0.172,0.24242424242424238,0.265,0.31857318573185733
0.323,0.4173106646058734,0.151,0.2106060606060606,0.203,0.24231242312423124
0.325,0.420401854714065,0.14,0.19393939393939394,0.129,0.15129151291512916
0.359,0.4729520865533231,0.147,0.20454545454545453,0.132,0.15498154981549814
0.367,0.4853168469860897,0.155,0.21666666666666665,0.168,0.1992619926199262
0.343,0.44822256568778995,0.152,0.2121212121212121,0.175,0.2078720787207872
0.323,0.4173106646058734,0.141,0.19545454545454544,0.184,0.2189421894218942
0.307,0.39258114374034014,0.163,0.2287878787878788,0.21,0.25092250922509224
0.286,0.3601236476043277,0.186,0.2636363636363636,0.22,0.26322263222632225
0.261,0.32148377125193206,0.185,0.2621212121212121,0.215,0.2570725707257072
0.259,0.31839258114374047,0.17,0.23939393939393938,0.219,0.26199261992619927
0.226,0.26738794435857816,0.149,0.20757575757575755,0.229,0.2742927429274293
0.22,0.25811437403400317,0.133,0.18333333333333335,0.252,0.3025830258302583
