LG 01,LG 02,LG 03,LG 04,LG 05,LG 06,LG 07,LG 08,LG 09,LG 10,LG 11,LG 12,LG 13,LG 14,LG 15,LG 16,LG 17,LG 18,LG 19,LG 20,LG 21,LG 22,LG 23,LG 24,LG 25,LG 26,LG 27,LG 28,LG 29,eload_med_ind,eload_small_ind,eload_comm
3.041417925,13.90733838,7.61134332,10.7047513,26.5107663,30.48592552,12.10120404,38.6753982,42.13065692,41.03314696,54.50532862,26.34335834,29.47835835,17.90537322,42.50810468,35.27004992,59.33416446,78.1930352,117.7574633,158.5696525,115.0019906,34.5213932,82.0402989,119.9098513,131.9320305,200.681593,240.6099514,240.6099514,349.6330863,0.603574833,0,0.503891051
15.24348266,17.70365183,9.85731348,10.93870652,33.43584096,29.45236333,19.21136328,40.38587084,44.35791066,38.84436586,61.2463585,41.50365692,44.66985096,40.27149273,46.78168679,44.66985096,41.60555741,68.9388063,116.9516175,151.2910455,116.1457717,59.1646769,163.248757,129.7671648,92.25218452,209.4991055,261.7366281,261.7366281,410.9813453,0.706577693,0.542910016,0.819714656
14.77557221,23.084622,9.60776124,18.46686576,31.15555736,27.00051257,23.48806479,41.98196538,45.48089574,36.79907729,63.68261225,39.46044795,51.96925398,39.38246288,43.44704498,46.04238828,35.88665191,68.5228859,98.23519947,149.2114435,117.2895528,101.2766174,202.2412945,130.4742295,85.27927902,213.3463692,270.8795983,270.8795983,449.194032,0.743803622,0.52209114,0.971465629
18.52925382,22.50025384,8.375597055,19.28310955,26.76447774,27.84379118,25.41169664,39.22649273,40.12176139,39.99386586,80.44940337,42.78261214,43.671642,41.64403005,47.209045,46.20875644,44.75199524,65.6114431,120.8508712,147.651742,120.0970155,127.895523,191.4273641,128.6441797,105.0687716,214.0742299,281.806867,281.806867,441.6554748,1,0.689104788,0.798962387
21.64345781,21.6278608,9.38940303,19.25191552,23.89462698,27.73149267,23.7085026,37.14689073,43.16629871,38.76326138,71.30331377,42.29910468,38.52462705,41.97156737,39.13603004,45.89681614,46.03822908,68.0029854,110.9207717,147.9116923,120.668906,139.4373141,217.4223891,136.6298514,113.9174782,213.3255732,281.0800461,281.0800461,439.3159225,0.860247855,0.827665973,0.691958495
19.71982597,22.65518419,9.155447805,19.43388069,27.01818918,28.95845785,23.30609961,35.75875639,45.50585096,39.72923651,49.95723905,36.6997763,31.06925388,38.13470167,29.39101507,45.5432838,31.88341806,61.8681595,105.6177866,151.0310953,137.8256226,136.1099509,176.9741302,130.4742295,89.4260054,199.1426875,276.0099764,276.0099764,409.681594,0.534080076,0.742077261,0.536964981
20.5880598,23.40903991,9.73253736,19.93818417,29.88803994,29.14874143,25.35866679,36.79855739,50.39083606,39.43913203,66.15317942,47.58649277,40.8641793,31.49037328,43.10703006,46.1671644,43.89311961,71.1223884,114.6640553,146.0920405,144.5843291,139.1253738,137.3577121,123.6531349,93.98865219,182.1731352,269.1327326,269.1327326,405.52239,0.781553861,0.780707842,0.740596628
21.46669164,22.68117921,8.51597019,21.16514936,32.42203498,29.71127377,22.22678618,36.12268674,53.39170175,38.85944297,61.82344806,43.53126887,40.2402987,25.75067177,40.97647781,47.39412958,43.75066688,71.5383088,119.3951498,129.1952742,137.8256226,126.2318414,186.7482596,124.1106474,94.96606513,153.911344,273.4135933,273.4135933,393.5646785,0.715395615,0.819801064,0.727626459
22.23094538,21.88885085,7.70492541,21.27432846,32.16832354,28.76401506,24.05995534,36.63738823,46.41671664,37.54201511,49.09940322,41.98716438,38.64940317,15.89335829,40.99831363,52.13562214,35.88769171,54.2776122,116.5616921,131.2748763,136.9937818,121.1368165,154.0985082,110.3436821,73.11048791,138.7094534,263.5074092,263.5074092,391.2251263,0.520972355,0.853805228,0.694552529
20.9000001,22.2527812,5.55253734,20.62965184,12.32684086,30.19374144,27.0358658,35.17646783,46.11725395,40.09888576,27.99040312,24.75246281,36.15388077,4.9910448,12.35595528,46.1671644,3.861820914,29.7383086,92.3343288,124.5161698,122.5925379,47.5189057,54.5895525,109.137513,48.57846292,123.2996026,229.7814638,229.7814638,354.572141,0.198427073,0.794587092,0.642671855
